,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
0,"DPOneRule(epsilon = 2.00000000, zeta = 0.00307116)",0.01,0.1,5,0.7815484368628081,0.0020429857932478743,"(10, 0)-DP",10.0,0
1,"DPOneRule(epsilon = 1.00000000, zeta = 0.00307116)",0.01,0.1,10,0.7875683003677015,0.014197669194055622,"(10, 0)-DP",10.0,0
2,"DPOneRule(epsilon = 0.50000000, zeta = 0.00307116)",0.01,0.1,20,0.7914988771276197,0.010645376667619704,"(10, 0)-DP",10.0,0
3,"DPOneRule(epsilon = 0.20000000, zeta = 0.00307116)",0.01,0.1,50,0.7983171343949786,0.010449003382970792,"(10, 0)-DP",10.0,0
4,"DPOneRule(epsilon = 0.10000000, zeta = 0.00307116)",0.01,0.1,100,0.7910687649460104,0.00698429579964554,"(10, 0)-DP",10.0,0
5,"DPOneRule(epsilon = 0.05000000, zeta = 0.00307116)",0.01,0.1,200,0.7772794469650757,0.011644536232890933,"(10, 0)-DP",10.0,0
6,"DPOneRule(epsilon = 0.03333333, zeta = 0.00307116)",0.01,0.1,300,0.7730108578910974,0.013546080719215713,"(10, 0)-DP",10.0,0
7,"DPOneRule(epsilon = 2.00000000, zeta = 0.00307116)",0.01,0.25,5,0.7899633826280532,0.0013191802054365982,"(10, 0)-DP",10.0,0
8,"DPOneRule(epsilon = 1.00000000, zeta = 0.00307116)",0.01,0.25,10,0.819108668884118,0.003951120358021271,"(10, 0)-DP",10.0,0
9,"DPOneRule(epsilon = 0.50000000, zeta = 0.00307116)",0.01,0.25,20,0.8158230033978537,0.006744283708095708,"(10, 0)-DP",10.0,0
10,"DPOneRule(epsilon = 0.20000000, zeta = 0.00307116)",0.01,0.25,50,0.8058420722342877,0.01268168554275854,"(10, 0)-DP",10.0,0
11,"DPOneRule(epsilon = 0.10000000, zeta = 0.00307116)",0.01,0.25,100,0.7923288369396153,0.0123524401473219,"(10, 0)-DP",10.0,0
12,"DPOneRule(epsilon = 0.05000000, zeta = 0.00307116)",0.01,0.25,200,0.7774946421653007,0.013560376836823011,"(10, 0)-DP",10.0,0
13,"DPOneRule(epsilon = 0.03333333, zeta = 0.00307116)",0.01,0.25,300,0.7396273084147336,0.015544394921589292,"(10, 0)-DP",10.0,0
14,"DPOneRule(epsilon = 2.00000000, zeta = 0.00307116)",0.01,0.5,5,0.819876595325697,0.002839588835530576,"(10, 0)-DP",10.0,0
15,"DPOneRule(epsilon = 1.00000000, zeta = 0.00307116)",0.01,0.5,10,0.816467362949399,0.01787367478131612,"(10, 0)-DP",10.0,0
16,"DPOneRule(epsilon = 0.50000000, zeta = 0.00307116)",0.01,0.5,20,0.8196305838521407,0.00717922368116787,"(10, 0)-DP",10.0,0
17,"DPOneRule(epsilon = 0.20000000, zeta = 0.00307116)",0.01,0.5,50,0.7845576471324975,0.012982595571589295,"(10, 0)-DP",10.0,0
18,"DPOneRule(epsilon = 0.10000000, zeta = 0.00307116)",0.01,0.5,100,0.7467520779646527,0.01644351010284071,"(10, 0)-DP",10.0,0
19,"DPOneRule(epsilon = 0.05000000, zeta = 0.00307116)",0.01,0.5,200,0.7171763682991228,0.011386453577972352,"(10, 0)-DP",10.0,0
20,"DPOneRule(epsilon = 0.03333333, zeta = 0.00307116)",0.01,0.5,300,0.6984719749689811,0.04569459482913471,"(10, 0)-DP",10.0,0
21,"DPOneRule(epsilon = 1.60000000, zeta = 0.00307116)",0.01,0.1,5,0.7767880417581017,0.0048784521377546845,"(8, 0)-DP",8.0,0
