,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
0,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=5, max_splits=30)",0.1,0.1,5,0.7581462193737643,0.002077285852401937,"(2, 0)-DP",2.0,0
1,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=5, max_splits=30)",0.1,0.1,10,0.7596818459093908,0.0010730045888775559,"(2, 0)-DP",2.0,0
2,"DPRandomForest(dp_zeta=0.0003071158748195694, global_epsilon=2, max_depth=2,
               max_random_trees=5, max_splits=30)",0.1,0.1,20,0.7592825688634073,0.0001376192992959435,"(2, 0)-DP",2.0,0
3,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=10, max_splits=30)",0.1,0.1,5,0.7593132955408405,0.000261287099525393,"(2, 0)-DP",2.0,0
4,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=10, max_splits=30)",0.1,0.1,10,0.759282583010128,0.00014684154380955437,"(2, 0)-DP",2.0,0
5,"DPRandomForest(dp_zeta=0.0003071158748195694, global_epsilon=2, max_depth=2,
               max_random_trees=10, max_splits=30)",0.1,0.1,20,0.7592825782945545,7.049742660851414e-05,"(2, 0)-DP",2.0,0
6,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=5, max_splits=30)",0.1,0.1,5,0.7592518610482684,7.620366901801567e-05,"(2, 0)-DP",2.0,0
7,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=5, max_splits=30)",0.1,0.1,10,0.7595896470147967,0.0007517756020749999,"(2, 0)-DP",2.0,0
8,"DPRandomForest(dp_zeta=0.0003071158748195694, global_epsilon=2, max_depth=13,
               max_random_trees=5, max_splits=30)",0.1,0.1,20,0.7591904454179904,4.662759153779561e-05,"(2, 0)-DP",2.0,0
9,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=10, max_splits=30)",0.1,0.1,5,0.759344008071553,0.00032196326382867297,"(2, 0)-DP",2.0,0
10,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=10, max_splits=30)",0.1,0.1,10,0.7602346525999221,0.001725809374795181,"(2, 0)-DP",2.0,0
11,"DPRandomForest(dp_zeta=0.0003071158748195694, global_epsilon=2, max_depth=13,
               max_random_trees=10, max_splits=30)",0.1,0.1,20,0.7599582492546565,0.000992869621333969,"(2, 0)-DP",2.0,0
12,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=5, max_splits=30)",0.1,0.25,5,0.7612789729556197,0.005952390785901764,"(2, 0)-DP",2.0,0
13,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=5, max_splits=30)",0.1,0.25,10,0.7628452129949136,0.012422418154245008,"(2, 0)-DP",2.0,0
14,"DPRandomForest(dp_zeta=0.0003071158748195694, global_epsilon=2, max_depth=2,
               max_random_trees=5, max_splits=30)",0.1,0.25,20,0.7803507236141967,0.017631428891904173,"(2, 0)-DP",2.0,0
15,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=10, max_splits=30)",0.1,0.25,5,0.7598353708383648,0.0005115457673945735,"(2, 0)-DP",2.0,0
16,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=2, max_random_trees=10, max_splits=30)",0.1,0.25,10,0.769970482395632,0.009749555485376791,"(2, 0)-DP",2.0,0
17,"DPRandomForest(dp_zeta=0.0003071158748195694, global_epsilon=2, max_depth=2,
               max_random_trees=10, max_splits=30)",0.1,0.25,20,0.7798288510863362,0.007494542081411466,"(2, 0)-DP",2.0,0
18,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=5, max_splits=30)",0.1,0.25,5,0.753170794113908,0.012970232532006342,"(2, 0)-DP",2.0,0
19,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=5, max_splits=30)",0.1,0.25,10,0.7600810333594765,0.005064182601858355,"(2, 0)-DP",2.0,0
20,"DPRandomForest(dp_zeta=0.0003071158748195694, global_epsilon=2, max_depth=13,
               max_random_trees=5, max_splits=30)",0.1,0.25,20,0.7794598716005902,0.010138056216442185,"(2, 0)-DP",2.0,0
21,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=10, max_splits=30)",0.1,0.25,5,0.7600196884628022,0.0010713684023687096,"(2, 0)-DP",2.0,0
22,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
               max_depth=13, max_random_trees=10, max_splits=30)",0.1,0.25,10,0.7741780660942338,0.013305998474524513,"(2, 0)-DP",2.0,0
