,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
0,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=3, max_splits=3)",0.1,0.1,5,0.8117074818422123,0.004127454711777708,"(2, 0)-DP",2.0,0
1,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=3, max_splits=3)",0.1,0.1,10,0.8195389932665382,0.005530878320171226,"(2, 0)-DP",2.0,0
2,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=3, max_splits=3)",0.1,0.1,20,0.8260498139989159,0.00570204892798312,"(2, 0)-DP",2.0,0
3,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=10)",0.1,0.1,5,0.833881264120785,0.005859984151431215,"(2, 0)-DP",2.0,0
4,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=10)",0.1,0.1,10,0.8385493471571316,0.005074395852356873,"(2, 0)-DP",2.0,0
5,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=10)",0.1,0.1,20,0.8404228115305961,0.004811789661904606,"(2, 0)-DP",2.0,0
6,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=3, max_splits=3)",0.1,0.25,5,0.8134886294317433,0.002278847501302237,"(2, 0)-DP",2.0,0
7,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=3, max_splits=3)",0.1,0.25,10,0.837597249273896,0.003595094452687052,"(2, 0)-DP",2.0,0
8,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=3, max_splits=3)",0.1,0.25,20,0.8396242810164966,0.004075458570384071,"(2, 0)-DP",2.0,0
9,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=10)",0.1,0.25,5,0.8392864714721002,0.004510847709682601,"(2, 0)-DP",2.0,0
10,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=0.0003071158748195694, global_epsilon=2,
              max_depth=10)",0.1,0.25,10,0.8408834146109596,0.0042012184807086565,"(2, 0)-DP",2.0,0
