,base_estimator,learning_rate,n_estimators,cv_score_avg,cv_score_std
0,OneRule(),0.1,5,0.7819784594485194,0.0014935918763523558
1,OneRule(),0.1,10,0.7887352162052761,0.009655113423124941
2,OneRule(),0.1,20,0.8246370470172867,0.004334507668730571
3,OneRule(),0.1,50,0.8308714266798098,0.0033227380714664643
4,OneRule(),0.1,100,0.8410984023259473,0.004190844533925027
5,OneRule(),0.25,5,0.8166212745554062,0.0035163467023051473
6,OneRule(),0.25,10,0.8250361448714741,0.004412765322862537
7,OneRule(),0.25,20,0.8296122742230526,0.00439261134982838
8,OneRule(),0.25,50,0.8402690932631053,0.002954381024047443
9,OneRule(),0.25,100,0.8421732513049879,0.0018732021699287777
10,OneRule(),0.5,5,0.8236542366033384,0.004145570635728932
11,OneRule(),0.5,10,0.8300114475264175,0.004321530029791461
12,OneRule(),0.5,20,0.8276774130816047,0.0035332812147660093
13,OneRule(),0.5,50,0.8276774130816047,0.0035332812147660093
14,OneRule(),0.5,100,0.8276774130816047,0.0035332812147660093
15,OneRule(),0.75,5,0.8258961758961758,0.003898308189639549
16,OneRule(),0.75,10,0.8208287167868006,0.0038627052688834963
17,OneRule(),0.75,20,0.8208287167868006,0.0038627052688834963
18,OneRule(),0.75,50,0.8208287167868006,0.0038627052688834963
19,OneRule(),0.75,100,0.8208287167868006,0.0038627052688834963
