,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
0,"DPOneRule(epsilon = 0.40000000, zeta = 0.00016797)",0.1,0.1,5,0.7366927017720668,0.05779716028387459,"(2, 0)-DP",2.0,0
1,"DPOneRule(epsilon = 0.20000000, zeta = 0.00016797)",0.1,0.1,10,0.7366927017720668,0.05779716028387459,"(2, 0)-DP",2.0,0
2,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.1,20,0.7409590996892585,0.04437920246592521,"(2, 0)-DP",2.0,0
3,"DPOneRule(epsilon = 0.04000000, zeta = 0.00016797)",0.1,0.1,50,0.7475266649869825,0.0488071956912246,"(2, 0)-DP",2.0,0
4,"DPOneRule(epsilon = 0.02000000, zeta = 0.00016797)",0.1,0.1,100,0.7554883681867809,0.05168442112258658,"(2, 0)-DP",2.0,0
5,"DPOneRule(epsilon = 0.40000000, zeta = 0.00016797)",0.1,0.25,5,0.7366927017720668,0.05779716028387459,"(2, 0)-DP",2.0,0
6,"DPOneRule(epsilon = 0.20000000, zeta = 0.00016797)",0.1,0.25,10,0.7358864533467708,0.039581943062765815,"(2, 0)-DP",2.0,0
7,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.25,20,0.7380364491475604,0.05752170268876187,"(2, 0)-DP",2.0,0
8,"DPOneRule(epsilon = 0.04000000, zeta = 0.00016797)",0.1,0.25,50,0.801713277903754,0.03175958186183309,"(2, 0)-DP",2.0,0
9,"DPOneRule(epsilon = 0.02000000, zeta = 0.00016797)",0.1,0.25,100,0.7891324431006971,0.02754125924262767,"(2, 0)-DP",2.0,0
10,"DPOneRule(epsilon = 0.40000000, zeta = 0.00016797)",0.1,0.5,5,0.7497942386831276,0.052152163662843296,"(2, 0)-DP",2.0,0
11,"DPOneRule(epsilon = 0.20000000, zeta = 0.00016797)",0.1,0.5,10,0.7547829008146468,0.04108740387496453,"(2, 0)-DP",2.0,0
12,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.5,20,0.8008902326362645,0.03063010908327183,"(2, 0)-DP",2.0,0
13,"DPOneRule(epsilon = 0.04000000, zeta = 0.00016797)",0.1,0.5,50,0.8134710674393213,0.019798696606391376,"(2, 0)-DP",2.0,0
