,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
0,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=2, max_random_trees=5, max_splits=30)",0.1,0.1,5,0.6667002603510539,0.00011392172643193171,"(2, 0)-DP",2.0,0
1,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=2, max_random_trees=5, max_splits=30)",0.1,0.1,10,0.666347526664987,0.000558100200750336,"(2, 0)-DP",2.0,0
2,"DPRandomForest(dp_zeta=0.0001679684219366759, global_epsilon=2, max_depth=2,
               max_random_trees=5, max_splits=30)",0.1,0.1,20,0.6663139329805997,0.0011108797019424882,"(2, 0)-DP",2.0,0
3,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=2, max_random_trees=10, max_splits=30)",0.1,0.1,5,0.6666666666666666,0.0,"(2, 0)-DP",2.0,0
4,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=2, max_random_trees=10, max_splits=30)",0.1,0.1,10,0.666599479297892,0.00032483546830961796,"(2, 0)-DP",2.0,0
5,"DPRandomForest(dp_zeta=0.0001679684219366759, global_epsilon=2, max_depth=2,
               max_random_trees=10, max_splits=30)",0.1,0.1,20,0.6639959687578736,0.0026887542190326924,"(2, 0)-DP",2.0,0
6,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=14, max_random_trees=5, max_splits=30)",0.1,0.1,5,0.6620643319056018,0.015562743382278216,"(2, 0)-DP",2.0,0
7,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=14, max_random_trees=5, max_splits=30)",0.1,0.1,10,0.6570924666162761,0.014930399251066012,"(2, 0)-DP",2.0,0
8,"DPRandomForest(dp_zeta=0.0001679684219366759, global_epsilon=2, max_depth=14,
               max_random_trees=5, max_splits=30)",0.1,0.1,20,0.6738557151255564,0.02453918045328701,"(2, 0)-DP",2.0,0
9,"DPRandomForest(dp_epsilon=0.4, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=14, max_random_trees=10, max_splits=30)",0.1,0.1,5,0.6727135298563869,0.012135762075267485,"(2, 0)-DP",2.0,0
10,"DPRandomForest(dp_epsilon=0.2, dp_zeta=0.0001679684219366759, global_epsilon=2,
               max_depth=14, max_random_trees=10, max_splits=30)",0.1,0.1,10,0.6665490887713109,0.0008307222990764019,"(2, 0)-DP",2.0,0
