,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
0,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=3, max_splits=3)",0.2,0.5,5,0.7917863441672965,0.06230683050425265,"(2, 0)-DP",2.0,0
1,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=3, max_splits=3)",0.2,0.5,10,0.82496010749979,0.01966467658209978,"(2, 0)-DP",2.0,0
2,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=3, max_splits=3)",0.2,0.5,20,0.8521373981691441,0.021757104719731836,"(2, 0)-DP",2.0,0
3,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=10)",0.2,0.5,5,0.8345846980767616,0.010090639164379528,"(2, 0)-DP",2.0,0
4,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=10)",0.2,0.5,10,0.8495002939447384,0.01834665796695399,"(2, 0)-DP",2.0,0
5,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=10)",0.2,0.5,20,0.8625850340136054,0.01975692818098412,"(2, 0)-DP",2.0,0
6,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=3, max_splits=3)",0.2,0.75,5,0.7915511883765852,0.05503607801676918,"(2, 0)-DP",2.0,0
7,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=3, max_splits=3)",0.2,0.75,10,0.8264382296128329,0.026956320496477088,"(2, 0)-DP",2.0,0
8,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=3, max_splits=3)",0.2,0.75,20,0.8415889812715209,0.015422885746859934,"(2, 0)-DP",2.0,0
9,"DPTopDownTree(dp_epsilon=0.4, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=10)",0.2,0.75,5,0.826068699084572,0.021324251054220617,"(2, 0)-DP",2.0,0
10,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=10)",0.2,0.75,10,0.8551776266061981,0.023658672721137832,"(2, 0)-DP",2.0,0
11,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=8.398421096833795e-05, global_epsilon=2,
              max_depth=10)",0.2,0.75,20,0.8586041824137063,0.018777607513345278,"(2, 0)-DP",2.0,0
12,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=8.398421096833795e-05, global_epsilon=1,
              max_depth=3, max_splits=3)",0.2,0.5,5,0.7917863441672965,0.06230683050425265,"(1, 0)-DP",1.0,0
13,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=8.398421096833795e-05, global_epsilon=1,
              max_depth=3, max_splits=3)",0.2,0.5,10,0.82496010749979,0.01966467658209978,"(1, 0)-DP",1.0,0
14,"DPTopDownTree(dp_epsilon=0.05, dp_zeta=8.398421096833795e-05, global_epsilon=1,
              max_depth=3, max_splits=3)",0.2,0.5,20,0.8516838834299151,0.02440130862849227,"(1, 0)-DP",1.0,0
15,"DPTopDownTree(dp_epsilon=0.2, dp_zeta=8.398421096833795e-05, global_epsilon=1,
              max_depth=10)",0.2,0.5,5,0.8324011085915848,0.009706569421467172,"(1, 0)-DP",1.0,0
16,"DPTopDownTree(dp_epsilon=0.1, dp_zeta=8.398421096833795e-05, global_epsilon=1,
              max_depth=10)",0.2,0.5,10,0.8502057613168723,0.01863568576099959,"(1, 0)-DP",1.0,0
